date_key,full_date,year,quarter,month,month_name,day,day_of_week,is_weekend
1996-09-11,1996-09-11,1996,3,9,September,11,Wednesday,0
1999-08-19,1999-08-19,1999,3,8,August,19,Thursday,0
2000-03-06,2000-03-06,2000,1,3,March,6,Monday,0
2000-04-17,2000-04-17,2000,2,4,April,17,Monday,0
2000-12-30,2000-12-30,2000,4,12,December,30,Saturday,1
2001-11-17,2001-11-17,2001,4,11,November,17,Saturday,1
2001-12-28,2001-12-28,2001,4,12,December,28,Friday,0
2002-06-25,2002-06-25,2002,2,6,June,25,Tuesday,0
2002-08-30,2002-08-30,2002,3,8,August,30,Friday,0
2003-03-10,2003-03-10,2003,1,3,March,10,Monday,0
2004-03-03,2004-03-03,2004,1,3,March,3,Wednesday,0
2004-04-07,2004-04-07,2004,2,4,April,7,Wednesday,0
2004-08-08,2004-08-08,2004,3,8,August,8,Sunday,1
2004-08-16,2004-08-16,2004,3,8,August,16,Monday,0
2004-10-28,2004-10-28,2004,4,10,October,28,Thursday,0
2005-05-18,2005-05-18,2005,2,5,May,18,Wednesday,0
2005-12-29,2005-12-29,2005,4,12,December,29,Thursday,0
2006-02-14,2006-02-14,2006,1,2,February,14,Tuesday,0
2006-11-16,2006-11-16,2006,4,11,November,16,Thursday,0
2007-03-30,2007-03-30,2007,1,3,March,30,Friday,0
2007-05-31,2007-05-31,2007,2,5,May,31,Thursday,0
2007-06-14,2007-06-14,2007,2,6,June,14,Thursday,0
2007-06-25,2007-06-25,2007,2,6,June,25,Monday,0
2008-04-04,2008-04-04,2008,2,4,April,4,Friday,0
2008-05-23,2008-05-23,2008,2,5,May,23,Friday,0
2009-08-11,2009-08-11,2009,3,8,August,11,Tuesday,0
2009-09-09,2009-09-09,2009,3,9,September,9,Wednesday,0
2010-01-05,2010-01-05,2010,1,1,January,5,Tuesday,0
2010-07-09,2010-07-09,2010,3,7,July,9,Friday,0
2010-09-16,2010-09-16,2010,3,9,September,16,Thursday,0
2011-02-18,2011-02-18,2011,1,2,February,18,Friday,0
2013-01-01,2013-01-01,2013,1,1,January,1,Tuesday,0
2013-11-29,2013-11-29,2013,4,11,November,29,Friday,0
2015-12-28,2015-12-28,2015,4,12,December,28,Monday,0
2022-01-01,2022-01-01,2022,1,1,January,1,Saturday,1
2022-01-03,2022-01-03,2022,1,1,January,3,Monday,0
2022-01-04,2022-01-04,2022,1,1,January,4,Tuesday,0
2022-01-05,2022-01-05,2022,1,1,January,5,Wednesday,0
2022-01-06,2022-01-06,2022,1,1,January,6,Thursday,0
2022-01-07,2022-01-07,2022,1,1,January,7,Friday,0
2022-01-08,2022-01-08,2022,1,1,January,8,Saturday,1
2022-01-09,2022-01-09,2022,1,1,January,9,Sunday,1
2022-01-10,2022-01-10,2022,1,1,January,10,Monday,0
2022-01-11,2022-01-11,2022,1,1,January,11,Tuesday,0
2022-01-12,2022-01-12,2022,1,1,January,12,Wednesday,0
2022-01-13,2022-01-13,2022,1,1,January,13,Thursday,0
2022-01-14,2022-01-14,2022,1,1,January,14,Friday,0
2022-01-15,2022-01-15,2022,1,1,January,15,Saturday,1
2022-01-16,2022-01-16,2022,1,1,January,16,Sunday,1
2022-01-17,2022-01-17,2022,1,1,January,17,Monday,0
2022-01-18,2022-01-18,2022,1,1,January,18,Tuesday,0
2022-01-19,2022-01-19,2022,1,1,January,19,Wednesday,0
2022-01-20,2022-01-20,2022,1,1,January,20,Thursday,0
2022-01-21,2022-01-21,2022,1,1,January,21,Friday,0
2022-01-22,2022-01-22,2022,1,1,January,22,Saturday,1
2022-01-23,2022-01-23,2022,1,1,January,23,Sunday,1
2022-01-24,2022-01-24,2022,1,1,January,24,Monday,0
2022-01-25,2022-01-25,2022,1,1,January,25,Tuesday,0
2022-01-26,2022-01-26,2022,1,1,January,26,Wednesday,0
2022-01-27,2022-01-27,2022,1,1,January,27,Thursday,0
2022-01-28,2022-01-28,2022,1,1,January,28,Friday,0
2022-01-29,2022-01-29,2022,1,1,January,29,Saturday,1
2022-01-30,2022-01-30,2022,1,1,January,30,Sunday,1
2022-01-31,2022-01-31,2022,1,1,January,31,Monday,0
2022-02-01,2022-02-01,2022,1,2,February,1,Tuesday,0
2022-02-02,2022-02-02,2022,1,2,February,2,Wednesday,0
2022-02-03,2022-02-03,2022,1,2,February,3,Thursday,0
2022-02-04,2022-02-04,2022,1,2,February,4,Friday,0
2022-02-05,2022-02-05,2022,1,2,February,5,Saturday,1
2022-02-06,2022-02-06,2022,1,2,February,6,Sunday,1
2022-02-07,2022-02-07,2022,1,2,February,7,Monday,0
2022-02-08,2022-02-08,2022,1,2,February,8,Tuesday,0
2022-02-09,2022-02-09,2022,1,2,February,9,Wednesday,0
2022-02-10,2022-02-10,2022,1,2,February,10,Thursday,0
2022-02-11,2022-02-11,2022,1,2,February,11,Friday,0
2022-02-12,2022-02-12,2022,1,2,February,12,Saturday,1
2022-02-13,2022-02-13,2022,1,2,February,13,Sunday,1
2022-02-14,2022-02-14,2022,1,2,February,14,Monday,0
2022-02-15,2022-02-15,2022,1,2,February,15,Tuesday,0
