amfi_code,sector_hhi,concentration_level,scheme_name,fund_house,category,sub_category
119092,0.29676908999999996,Concentrated,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap
148569,0.25499194,Concentrated,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS
125498,0.253155,Concentrated,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap
102887,0.25138255,Concentrated,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap
149323,0.24107664000000004,Concentrated,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap
120505,0.23869504,Concentrated,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap
118635,0.23749677,Concentrated,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF
119599,0.2323612,Concentrated,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap
120506,0.23146434,Concentrated,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value
100033,0.22764743999999998,Concentrated,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap
119552,0.22750834999999997,Concentrated,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap
101207,0.22272651000000002,Concentrated,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap
120504,0.22121302999999998,Concentrated,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap
118633,0.22120031999999998,Concentrated,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap
148568,0.21808584999999997,Concentrated,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap
120841,0.21589315000000003,Concentrated,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap
118632,0.20725894,Concentrated,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap
148567,0.20124815000000001,Concentrated,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap
149324,0.18870082000000002,Concentrated,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap
119598,0.18808485000000003,Concentrated,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap
119093,0.18423319999999999,Concentrated,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap
149322,0.18269533,Concentrated,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap
120503,0.1821675,Concentrated,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap
102885,0.18071201999999997,Concentrated,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index
100016,0.18058807999999998,Concentrated,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap
101206,0.18004225000000001,Concentrated,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap
119094,0.17510024999999999,Moderate,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap
125497,0.17241088,Moderate,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap
120842,0.16206189,Moderate,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap
118634,0.16029924,Moderate,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap
119095,0.15958229000000002,Moderate,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap
119551,0.14249103999999999,Moderate,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap
120843,0.13620616000000002,Moderate,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap
102886,0.12402024,Moderate,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap
