amfi_code,scheme_label,date,nav
125497,HDFC Top 100 Direct,2013-11-18,13.0894
125497,HDFC Top 100 Direct,2013-11-19,13.1068
125497,HDFC Top 100 Direct,2013-11-20,12.9549
125497,HDFC Top 100 Direct,2013-11-21,12.7957
125497,HDFC Top 100 Direct,2013-11-22,12.7775
125497,HDFC Top 100 Direct,2013-11-25,12.8548
125497,HDFC Top 100 Direct,2013-11-26,12.8591
125497,HDFC Top 100 Direct,2013-11-27,12.8389
125497,HDFC Top 100 Direct,2013-11-28,12.8773
125497,HDFC Top 100 Direct,2013-11-29,12.9509
125497,HDFC Top 100 Direct,2013-12-02,13.0012
125497,HDFC Top 100 Direct,2013-12-03,13.0048
125497,HDFC Top 100 Direct,2013-12-04,12.9799
125497,HDFC Top 100 Direct,2013-12-05,13.0319
125497,HDFC Top 100 Direct,2013-12-06,13.0439
125497,HDFC Top 100 Direct,2013-12-09,13.0282
125497,HDFC Top 100 Direct,2013-12-10,13.0325
125497,HDFC Top 100 Direct,2013-12-11,13.0129
125497,HDFC Top 100 Direct,2013-12-12,13.0021
125497,HDFC Top 100 Direct,2013-12-13,12.9891
125497,HDFC Top 100 Direct,2013-12-16,13.0345
125497,HDFC Top 100 Direct,2013-12-17,12.9569
125497,HDFC Top 100 Direct,2013-12-18,13.0672
125497,HDFC Top 100 Direct,2013-12-19,13.1392
125497,HDFC Top 100 Direct,2013-12-20,13.1776
125497,HDFC Top 100 Direct,2013-12-23,13.1886
125497,HDFC Top 100 Direct,2013-12-24,13.2683
125497,HDFC Top 100 Direct,2013-12-26,13.4811
125497,HDFC Top 100 Direct,2013-12-27,13.5024
125497,HDFC Top 100 Direct,2013-12-30,13.5862
125497,HDFC Top 100 Direct,2013-12-31,13.7277
125497,HDFC Top 100 Direct,2014-01-01,13.7418
125497,HDFC Top 100 Direct,2014-01-02,13.7553
125497,HDFC Top 100 Direct,2014-01-03,13.8494
125497,HDFC Top 100 Direct,2014-01-06,13.8568
125497,HDFC Top 100 Direct,2014-01-07,13.9214
125497,HDFC Top 100 Direct,2014-01-08,14.0081
125497,HDFC Top 100 Direct,2014-01-09,13.8644
125497,HDFC Top 100 Direct,2014-01-10,13.8143
125497,HDFC Top 100 Direct,2014-01-13,13.7909
125497,HDFC Top 100 Direct,2014-01-14,13.8249
125497,HDFC Top 100 Direct,2014-01-15,14.0209
125497,HDFC Top 100 Direct,2014-01-16,14.0042
125497,HDFC Top 100 Direct,2014-01-17,13.7841
125497,HDFC Top 100 Direct,2014-01-20,13.8144
125497,HDFC Top 100 Direct,2014-01-21,13.8659
125497,HDFC Top 100 Direct,2014-01-22,13.9302
125497,HDFC Top 100 Direct,2014-01-23,13.9537
125497,HDFC Top 100 Direct,2014-01-24,13.8688
125497,HDFC Top 100 Direct,2014-01-27,13.6829
